year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,ALABAMA,AL,AUTAUGA,01001,US PRESIDENT,AL GORE,DEMOCRAT,4942,17208,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,01003,US PRESIDENT,AL GORE,DEMOCRAT,13997,56480,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,01005,US PRESIDENT,AL GORE,DEMOCRAT,5188,10395,20220315,TOTAL
2000,ALABAMA,AL,BIBB,01007,US PRESIDENT,AL GORE,DEMOCRAT,2710,7101,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,01009,US PRESIDENT,AL GORE,DEMOCRAT,4977,17973,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,01011,US PRESIDENT,AL GORE,DEMOCRAT,3395,4904,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,01013,US PRESIDENT,AL GORE,DEMOCRAT,3606,7803,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,01015,US PRESIDENT,AL GORE,DEMOCRAT,15781,38909,20220315,TOTAL
2000,ALABAMA,AL,CHAMBERS,01017,US PRESIDENT,AL GORE,DEMOCRAT,5616,11834,20220315,TOTAL
2000,ALABAMA,AL,CHEROKEE,01019,US PRESIDENT,AL GORE,DEMOCRAT,3497,7823,20220315,TOTAL
2000,ALABAMA,AL,CHILTON,01021,US PRESIDENT,AL GORE,DEMOCRAT,4806,15092,20220315,TOTAL
2000,ALABAMA,AL,CHOCTAW,01023,US PRESIDENT,AL GORE,DEMOCRAT,3707,7374,20220315,TOTAL
2000,ALABAMA,AL,CLARKE,01025,US PRESIDENT,AL GORE,DEMOCRAT,4679,10752,20220315,TOTAL
2000,ALABAMA,AL,CLAY,01027,US PRESIDENT,AL GORE,DEMOCRAT,2045,5883,20220315,TOTAL
2000,ALABAMA,AL,CLEBURNE,01029,US PRESIDENT,AL GORE,DEMOCRAT,1664,5092,20220315,TOTAL
2000,ALABAMA,AL,COFFEE,01031,US PRESIDENT,AL GORE,DEMOCRAT,5220,15434,20220315,TOTAL
2000,ALABAMA,AL,COLBERT,01033,US PRESIDENT,AL GORE,DEMOCRAT,10543,21532,20220315,TOTAL
2000,ALABAMA,AL,CONECUH,01035,US PRESIDENT,AL GORE,DEMOCRAT,2783,5551,20220315,TOTAL
2000,ALABAMA,AL,COOSA,01037,US PRESIDENT,AL GORE,DEMOCRAT,2104,4567,20220315,TOTAL
2000,ALABAMA,AL,COVINGTON,01039,US PRESIDENT,AL GORE,DEMOCRAT,4440,13613,20220315,TOTAL
2000,ALABAMA,AL,CRENSHAW,01041,US PRESIDENT,AL GORE,DEMOCRAT,1934,4795,20220315,TOTAL
2000,ALABAMA,AL,CULLMAN,01043,US PRESIDENT,AL GORE,DEMOCRAT,9758,29525,20220315,TOTAL
